Issue Type,Issue key,Issue id,Summary,Status,Custom field (EDS equivalent table),Custom field (EDW table replaced with external table?),Custom field (EDW table),Custom field (Validation details (optional))
Task,EDSMIG-6501,420971,prod_ml.dnn_recommendations_p2p_training_input - Phase 1,To Do,,,prod_ml.dnn_recommendations_p2p_training_input,
Task,EDSMIG-6502,420972,prod_ml.dnn_recommendations_payment_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_payment_qa,
Task,EDSMIG-6503,420973,prod_ml.dnn_recommendations_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_qa,
Task,EDSMIG-6504,420974,prod_ml.dnn_recommendations_s12n_course_enrollments - Phase 1,To Do,,,prod_ml.dnn_recommendations_s12n_course_enrollments,
Task,EDSMIG-6505,420975,prod_ml.dnn_recommendations_scoring_data_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_scoring_data_qa,
Task,EDSMIG-6506,420976,prod_ml.dnn_recommendations_staging - Phase 1,To Do,,,prod_ml.dnn_recommendations_staging,
Task,EDSMIG-6507,420977,prod_ml.dnn_recommendations_staging_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_staging_qa,
Task,EDSMIG-6508,420978,prod_ml.dnn_recommendations_training_data_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_training_data_qa,
Task,EDSMIG-6509,420979,prod_ml.dnn_recommendations_training_users - Phase 1,To Do,,,prod_ml.dnn_recommendations_training_users,
Task,EDSMIG-6510,420980,prod_ml.dnn_recommendations_user_features - Phase 1,To Do,,,prod_ml.dnn_recommendations_user_features,
Task,EDSMIG-6511,420981,prod_ml.dnn_recommendations_user_features_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_user_features_qa,
Task,EDSMIG-6512,420982,prod_ml.dnn_recommendations_users_to_score - Phase 1,To Do,,,prod_ml.dnn_recommendations_users_to_score,
Task,EDSMIG-6513,420983,prod_ml.dnn_recommendations_users_to_score_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_users_to_score_qa,
Task,EDSMIG-6514,420984,prod_ml.dnn_recommendations_weighted_training_users - Phase 1,To Do,,,prod_ml.dnn_recommendations_weighted_training_users,
Task,EDSMIG-6515,420985,prod_ml.dnn_recommendations_weighted_training_users_qa - Phase 1,To Do,,,prod_ml.dnn_recommendations_weighted_training_users_qa,
Task,EDSMIG-6516,420986,prod_ml.dnn_recommendations_with_content_filters - Phase 1,To Do,,,prod_ml.dnn_recommendations_with_content_filters,
Task,EDSMIG-6517,420987,prod_ml.dnn_recommendations_with_content_filters_email_ranks - Phase 1,To Do,,,prod_ml.dnn_recommendations_with_content_filters_email_ranks,
Task,EDSMIG-6518,420988,prod_ml.dnn_recommendations_with_content_filters_staging - Phase 1,To Do,,,prod_ml.dnn_recommendations_with_content_filters_staging,
Task,EDSMIG-6519,420989,prod_ml.dnn_skill_assessment_tag_predictions - Phase 1,To Do,,,prod_ml.dnn_skill_assessment_tag_predictions,
Task,EDSMIG-6520,420990,prod_ml.dnn_skill_assessment_tag_predictions_new - Phase 1,To Do,,,prod_ml.dnn_skill_assessment_tag_predictions_new,
Task,EDSMIG-6521,420991,prod_ml.dnn_skill_course_tag_predictions - Phase 1,To Do,,,prod_ml.dnn_skill_course_tag_predictions,
Task,EDSMIG-6522,420992,prod_ml.dnn_skill_course_tag_predictions_new - Phase 1,To Do,,,prod_ml.dnn_skill_course_tag_predictions_new,
Task,EDSMIG-6523,420993,prod_ml.domain_competencies - Phase 1,To Do,,,prod_ml.domain_competencies,
Task,EDSMIG-6524,420994,prod_ml.domain_subdomain_competencies - Phase 1,To Do,,,prod_ml.domain_subdomain_competencies,
Task,EDSMIG-6525,420995,prod_ml.dre_acceptance_batch_scoring_set - Phase 1,To Do,,,prod_ml.dre_acceptance_batch_scoring_set,
Task,EDSMIG-6526,420996,prod_ml.dre_acceptance_daily_scores - Phase 1,To Do,,,prod_ml.dre_acceptance_daily_scores,
Task,EDSMIG-6527,420997,prod_ml.dre_acceptance_scores - Phase 1,To Do,,,prod_ml.dre_acceptance_scores,
Task,EDSMIG-6528,420998,prod_ml.dre_acceptance_training_set - Phase 1,To Do,,,prod_ml.dre_acceptance_training_set,
Task,EDSMIG-6529,420999,prod_ml.dre_archive_recs_emails - Phase 1,To Do,,,prod_ml.dre_archive_recs_emails,
Task,EDSMIG-6530,421000,prod_ml.dre_archive_single_degree_emails - Phase 1,To Do,,,prod_ml.dre_archive_single_degree_emails,
Task,EDSMIG-6531,421001,prod_ml.dre_archive_unsub_filtered - Phase 1,To Do,,,prod_ml.dre_archive_unsub_filtered,
Task,EDSMIG-6532,421002,prod_ml.dre_ddp_to_enroll_training_set - Phase 1,To Do,,,prod_ml.dre_ddp_to_enroll_training_set,
Task,EDSMIG-6533,421003,prod_ml.dre_degree_email_audience - Phase 1,To Do,,,prod_ml.dre_degree_email_audience,
Task,EDSMIG-6534,421004,prod_ml.dre_degree_email_eligible_user_recs - Phase 1,To Do,,,prod_ml.dre_degree_email_eligible_user_recs,
Task,EDSMIG-6535,421005,prod_ml.dre_degree_email_eligible_user_recs_ranking - Phase 1,To Do,,,prod_ml.dre_degree_email_eligible_user_recs_ranking,
Task,EDSMIG-6536,421006,prod_ml.dre_degree_email_sd_allocations_pointwise - Phase 1,To Do,,,prod_ml.dre_degree_email_sd_allocations_pointwise,
Task,EDSMIG-6537,421007,prod_ml.dre_degree_email_sd_pointwise_dev - Phase 1,To Do,,,prod_ml.dre_degree_email_sd_pointwise_dev,
Task,EDSMIG-6538,421008,prod_ml.dre_degree_email_sd_pointwise_prod - Phase 1,To Do,,,prod_ml.dre_degree_email_sd_pointwise_prod,
Task,EDSMIG-6539,421009,prod_ml.dre_degree_email_single_degree_allocations - Phase 1,To Do,,,prod_ml.dre_degree_email_single_degree_allocations,
Task,EDSMIG-6540,421010,prod_ml.dre_degree_recs_active_users - Phase 1,To Do,,,prod_ml.dre_degree_recs_active_users,
Task,EDSMIG-6541,421011,prod_ml.dre_degree_recs_dcat_emails - Phase 1,To Do,,,prod_ml.dre_degree_recs_dcat_emails,
Task,EDSMIG-6542,421012,prod_ml.dre_degree_recs_search_browse - Phase 1,To Do,,,prod_ml.dre_degree_recs_search_browse,
Task,EDSMIG-6543,421013,prod_ml.dre_degree_recs_weekly_email - Phase 1,To Do,,,prod_ml.dre_degree_recs_weekly_email,
Task,EDSMIG-6544,421014,prod_ml.dre_dnn_recommendations - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations,
Task,EDSMIG-6545,421015,prod_ml.dre_dnn_recommendations_course_enrollments - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_course_enrollments,
Task,EDSMIG-6546,421016,prod_ml.dre_dnn_recommendations_course_enrollments_scoring - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_course_enrollments_scoring,
Task,EDSMIG-6547,421017,prod_ml.dre_dnn_recommendations_course_views - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_course_views,
Task,EDSMIG-6548,421018,prod_ml.dre_dnn_recommendations_cutoff_dt - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_cutoff_dt,
Task,EDSMIG-6549,421019,prod_ml.dre_dnn_recommendations_ddp_views - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_ddp_views,
Task,EDSMIG-6550,421020,prod_ml.dre_dnn_recommendations_ddp_views_scoring - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_ddp_views_scoring,
Task,EDSMIG-6551,421021,prod_ml.dre_dnn_recommendations_degree_app_starts - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_degree_app_starts,
Task,EDSMIG-6552,421022,prod_ml.dre_dnn_recommendations_degree_eois - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_degree_eois,
Task,EDSMIG-6553,421023,prod_ml.dre_dnn_recommendations_search_browse - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_search_browse,
Task,EDSMIG-6554,421024,prod_ml.dre_dnn_recommendations_staging - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_staging,
Task,EDSMIG-6555,421025,prod_ml.dre_dnn_recommendations_tab_clicks - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_tab_clicks,
Task,EDSMIG-6556,421026,prod_ml.dre_dnn_recommendations_tab_clicks_scoring - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_tab_clicks_scoring,
Task,EDSMIG-6557,421027,prod_ml.dre_dnn_recommendations_training_users - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_training_users,
Task,EDSMIG-6558,421028,prod_ml.dre_dnn_recommendations_user_features - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_user_features,
Task,EDSMIG-6559,421029,prod_ml.dre_dnn_recommendations_user_features_scoring - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_user_features_scoring,
Task,EDSMIG-6560,421030,prod_ml.dre_dnn_recommendations_users_to_score - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_users_to_score,
Task,EDSMIG-6561,421031,prod_ml.dre_dnn_recommendations_weighted_training_users - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_weighted_training_users,
Task,EDSMIG-6562,421032,prod_ml.dre_dnn_recommendations_xdp_views - Phase 1,To Do,,,prod_ml.dre_dnn_recommendations_xdp_views,
Task,EDSMIG-6563,421033,prod_ml.dre_eligible_degrees - Phase 1,To Do,,,prod_ml.dre_eligible_degrees,
Task,EDSMIG-6564,421034,prod_ml.dre_eligible_learners - Phase 1,To Do,,,prod_ml.dre_eligible_learners,
Task,EDSMIG-6565,421035,prod_ml.dre_email_mailspin_hi_touch - Phase 1,To Do,,,prod_ml.dre_email_mailspin_hi_touch,
