edw_table,eds_equivalent_table,Status,is_table_replaced,issue_key,eds_base_table,table,key_cols
coursera_warehouse.edw_prod.on_demand_sessions,prod.silver.courral_course_sessions_vw,Done,No,EDSMIG-5735,prod.silver_base.courral_course_sessions,courral_course_sessions,['doc_key']
coursera_warehouse.edw_prod.numbers,prod.silver.static_numbers_vw,Done,No,EDSMIG-5731,prod.silver_base.static_numbers,,
coursera_warehouse.edw_prod.notifications_preference,prod.silver.courral_notifications_preference_vw,Done,No,EDSMIG-5729,prod.silver_base.courral_notifications_preference,courral_notifications_preference,"['doc_key', 'preference_category']"
coursera_warehouse.edw_prod.notebook_workspace_launchers,prod.silver.notebook_workspace_launchers_vw,Done,No,EDSMIG-5725,prod.silver_base.notebook_workspace_launchers,,
coursera_warehouse.edw_prod.mysql_permission_user_roles,prod.silver.permissions_mysql_permission_user_roles_vw,Done,No,EDSMIG-5719,prod.silver_base.permissions_mysql_permission_user_roles,permissions_mysql_permission_user_roles,['id']
coursera_warehouse.edw_prod.mysql_permission_role_object_permission_objects,prod.silver.rds_role_object_permission_objects_vw,Done,No,EDSMIG-5717,prod.silver_base.rds_role_object_permission_objects,rds_role_object_permission_objects,['id']
coursera_warehouse.edw_prod.mega_int_chtng_case,prod.silver.courral_cheating_cases_vw,Done,No,EDSMIG-5698,prod.silver_base.courral_cheating_cases,courral_cheating_cases,['doc_key']
coursera_warehouse.edw_prod.mega_authoring_course_branches,prod.silver.courral_authoring_course_branches_vw,Done,No,EDSMIG-5695,prod.silver_base.courral_authoring_course_branches,,
coursera_warehouse.edw_prod.mega_authoring_course_branch_schedules_week,prod.silver.courral_authoring_course_branch_schedules_week_vw,Done,No,EDSMIG-5694,prod.silver_base.courral_authoring_course_branch_schedules_week,,
coursera_warehouse.edw_prod.mega_authoring_course_branch_schedules,prod.silver.courral_authoring_course_branch_schedules_vw,Done,No,EDSMIG-5693,prod.silver_base.courral_authoring_course_branch_schedules,courral_authoring_course_branch_schedules,"['raw_id', 'module_id']"
