edw_table,eds_equivalent_table,Status,is_table_replaced,issue_key,eds_base_table,table,key_cols
pii.google_certificate_pulse_survey_v2_2022_unhashed,prod.general_pii.google_certificate_pulse_survey_v2_2022_unhashed,Done,No,EDSMIG-4026,prod.general_pii.google_certificate_pulse_survey_v2_2022_unhashed,,
pii.google_certificate_pulse_survey_v2_2022,prod.general_pii.google_certificate_pulse_survey_v2_2022,Done,No,EDSMIG-4024,prod.general_pii.google_certificate_pulse_survey_v2_2022,,
pii.google_certificate_participant_completion_survey_v3_2022_unhashed,prod.general_pii.google_certificate_participant_completion_survey_v3_2022_unhashed,Done,No,EDSMIG-4023,prod.general_pii.google_certificate_participant_completion_survey_v3_2022_unhashed,,
pii.google_certificate_participant_completion_survey_v3_2022,prod.general_pii.google_certificate_participant_completion_survey_v3_2022,Done,No,EDSMIG-4021,prod.general_pii.google_certificate_participant_completion_survey_v3_2022,,
pii.google_cert_completion_master_survey,prod.general_pii.google_cert_completion_master_survey,Done,No,EDSMIG-3996,prod.general_pii.google_cert_completion_master_survey,,
pii.google_aie_completion_survey_unhashed,prod.general_pii.google_aie_completion_survey_unhashed,Done,No,EDSMIG-3995,prod.general_pii.google_aie_completion_survey_unhashed,,
pii.google_aie_completion_survey,prod.general_pii.google_aie_completion_survey,Done,No,EDSMIG-3993,prod.general_pii.google_aie_completion_survey,,
pii.enterprise_los_workforce_post,prod.general_pii.enterprise_los_workforce_post,Done,No,EDSMIG-3915,prod.general_pii.enterprise_los_workforce_post,,
pii.enterprise_los_workforce_entry,prod.general_pii.enterprise_los_workforce_entry,Done,No,EDSMIG-3913,prod.general_pii.enterprise_los_workforce_entry,,
pii.enterprise_los_social_impact_post,prod.general_pii.enterprise_los_social_impact_post,Done,No,EDSMIG-3909,prod.general_pii.enterprise_los_social_impact_post,,
pii.enterprise_los_social_impact_entry,prod.general_pii.enterprise_los_social_impact_entry,Done,No,EDSMIG-3907,prod.general_pii.enterprise_los_social_impact_entry,,
pii.enterprise_los_government_post,prod.general_pii.enterprise_los_government_post,Done,No,EDSMIG-3905,prod.general_pii.enterprise_los_government_post,,
pii.enterprise_los_government_entry,prod.general_pii.enterprise_los_government_entry,Done,No,EDSMIG-3903,prod.general_pii.enterprise_los_government_entry,,
pii.enterprise_los_campus_post,prod.general_pii.enterprise_los_campus_post,Done,No,EDSMIG-3901,prod.general_pii.enterprise_los_campus_post,,
pii.enterprise_los_business_post,prod.general_pii.enterprise_los_business_post,Done,No,EDSMIG-3897,prod.general_pii.enterprise_los_business_post,,
pii.enterprise_los_business_entry,prod.general_pii.enterprise_los_business_entry,Done,No,EDSMIG-3895,prod.general_pii.enterprise_los_business_entry,,
pii.degree_profile_uol_bsccs,prod.general_pii.degree_profile_uol_bsccs,Done,No,EDSMIG-3810,prod.general_pii.degree_profile_uol_bsccs,,
pii.degree_profile_uniandes_miso,prod.general_pii.degree_profile_uniandes_miso,Done,No,EDSMIG-3806,prod.general_pii.degree_profile_uniandes_miso,,
pii.degree_profile_hec_msie,prod.general_pii.degree_profile_hec_msie,Done,No,EDSMIG-3802,prod.general_pii.degree_profile_hec_msie,,
pii.consumer_los_spec_post,prod.general_pii.consumer_los_spec_post,Done,No,EDSMIG-3708,prod.general_pii.consumer_los_spec_post,,
pii.consumer_los_course_post,prod.general_pii.consumer_los_course_post,Done,No,EDSMIG-3706,prod.general_pii.consumer_los_course_post,,
pii.consumer_los_cert_post,prod.general_pii.consumer_los_cert_post,Done,No,EDSMIG-3704,prod.general_pii.consumer_los_cert_post,,
pii.consumer_los_cert_entry,prod.general_pii.consumer_los_cert_entry,Done,No,EDSMIG-3702,prod.general_pii.consumer_los_cert_entry,,
pii.consumer_los_cert_completion,prod.general_pii.consumer_los_cert_completion,Done,No,EDSMIG-3700,prod.general_pii.consumer_los_cert_completion,,
finsys.estimated_b2c_revenue_recognition_staging_error_records,prod.gold_base_restricted.estimated_b2c_rev_rec_error_records,Done,No,EDSMIG-3176,prod.gold_base_base_restricted.estimated_b2c_rev_rec_error_records,,
finsys.estimated_b2c_cash_rev_in_trailing_n_days,prod.gold_base_restricted.estimated_b2c_cash_rev_in_trailing_n_days,Done,No,EDSMIG-3172,prod.gold_base_base_restricted.estimated_b2c_cash_rev_in_trailing_n_days,,
finsys.estimated_b2c_cash_rev_fcst_yoy,prod.gold_base_restricted.estimated_b2c_cash_rev_fcst_yoy,Done,No,EDSMIG-3171,prod.gold_base_base_restricted.estimated_b2c_cash_rev_fcst_yoy,,
finsys.estimated_b2c_cash_rev_fcst_report,prod.gold_base_restricted.estimated_b2c_cash_rev_fcst_report,Done,No,EDSMIG-3170,prod.gold_base_base_restricted.estimated_b2c_cash_rev_fcst_report,,
finsys.estimated_b2c_cash_rev_actual_fcst,prod.gold_base_restricted.estimated_b2c_cash_rev_actual_fcst,Done,No,EDSMIG-3169,prod.gold_base_base_restricted.estimated_b2c_cash_rev_actual_fcst,,
core_prep.user_registration_stats,prod.general.stg_user_registration_stats,Done,No,EDSMIG-2425,prod.general.stg_user_registration_stats,,
core_prep.phoenix_specialization_enrollments_about_clite,prod.general.stg_phoenix_specialization_enrollments_about_clite,Done,No,EDSMIG-2256,prod.general.stg_phoenix_specialization_enrollments_about_clite,,
core_prep.b2c_funnel_monthly_user_states,prod.general.b2c_funnel_monthly_user_states,Done,No,EDSMIG-1941,prod.general.b2c_funnel_monthly_user_states,,
core_prep.active_master_skills,general.stg_active_master_skills,Done,No,EDSMIG-1915,general.stg_active_master_skills,,
core.users,prod.gold.users_vw,Done,No,EDSMIG-1742,prod.gold_base.users,,
core.user_course_branch_modules,prod.gold.user_course_branch_modules_vw,Done,No,EDSMIG-1738,prod.gold_base.user_course_branch_modules,,
core.user_course_branch_items,prod.gold.user_course_branch_items_vw,Done,No,EDSMIG-1736,prod.gold_base.user_course_branch_items,,
core.l2_impressions,prod.gold_base.impressions,Done,No,EDSMIG-1705,prod.gold_base_base.impressions,,
core.l2_clicks,prod.gold_base.clicks,Done,No,EDSMIG-1697,prod.gold_base_base.clicks,,
core.l1_learner_pendo_polls,prod.silver.pendo_learner_polls_vw,Done,No,EDSMIG-1691,prod.silver_base.pendo_learner_polls,pendo_learner_polls,"['guide_id', 'poll_id']"
core.l1_learner_pendo_poll_responses,prod.silver.pendo_learner_poll_responses_vw,Done,No,EDSMIG-1690,prod.silver_base.pendo_learner_poll_responses,pendo_learner_poll_responses,"['guide_id', 'poll_id', 'time']"
core.l1_learner_pendo_guides,prod.silver.pendo_learner_guides_vw,Done,No,EDSMIG-1689,prod.silver_base.pendo_learner_guides,pendo_learner_guides,['guide_id']
core.l1_authoring_pendo_polls,prod.silver.pendo_author_polls_vw,Done,No,EDSMIG-1688,prod.silver_base.pendo_author_polls,pendo_author_polls,"['guide_id', 'poll_id']"
core.l1_authoring_pendo_poll_responses,prod.silver.pendo_author_poll_responses_vw,Done,No,EDSMIG-1687,prod.silver_base.pendo_author_poll_responses,pendo_author_poll_responses,"['guide_id', 'poll_id', 'time']"
core.l1_authoring_pendo_guides,prod.silver.pendo_author_guides_vw,Done,No,EDSMIG-1686,prod.silver_base.pendo_author_guides,pendo_author_guides,['guide_id']
core.enterprise_learner_levelsets_t2,prod.gold.enterprise_learner_levelsets_t2_vw,Done,No,EDSMIG-1676,prod.gold_base.enterprise_learner_levelsets_t2,,
core.enterprise_learner_levelsets_full_history_t2,prod.gold.enterprise_learner_levelsets_full_history_t2_vw,Done,No,EDSMIG-1675,prod.gold_base.enterprise_learner_levelsets_full_history_t2,,
core.degree_program_categories,prod.silver.degree_program_categories_vw,Done,No,EDSMIG-1665,prod.silver_base.degree_program_categories,,
core.course_branch_assessment_versions,prod.gold.course_branch_assessment_versions_vw,Done,No,EDSMIG-1659,prod.gold_base.course_branch_assessment_versions,,
core.countries,prod.silver.static_countries_vw,Done,No,EDSMIG-1658,prod.silver_base.static_countries,,
core.active_master_role_skills,general.stg_active_master_role_skills,Done,No,EDSMIG-1651,general.stg_active_master_role_skills,,
core.active_branch_role_skills,general.stg_active_branch_role_skills,Done,No,EDSMIG-1649,general.stg_active_branch_role_skills,,
core.user_course_modules,prod.gold.user_course_branch_modules_vw,Done,No,EDSMIG-1647,prod.gold_base.user_course_branch_modules,,
core.unified_specializations_partners,prod.gold.unified_specializations_partners_vw,Done,No,EDSMIG-1640,prod.gold_base.unified_specializations_partners,,
core.unified_specializations_courses,prod.gold.unified_specializations_courses_vw,Done,No,EDSMIG-1639,prod.gold_base.unified_specializations_courses,,
core.unified_specializations,prod.gold.unified_specializations_vw,Done,No,EDSMIG-1638,prod.gold_base.unified_specializations,,
core.unified_courses_partners,prod.gold.unified_courses_partners_vw,Done,No,EDSMIG-1637,prod.gold_base.unified_courses_partners,,
core.unified_courses,prod.gold.unified_courses_vw,Done,No,EDSMIG-1636,prod.gold_base.unified_courses,,
core.unified_course_enrollments,prod.gold.unified_course_enrollments_vw,Done,No,EDSMIG-1634,prod.gold_base.unified_course_enrollments,,
core.sequence_branches_courses,prod.gold.sequence_branches_primary_courses_vw/ prod.silver.dynamodb_s12n_progress_course_requirements_primary_courses_vw,Done,No,EDSMIG-1629,prod.gold_base.sequence_branches_primary_courses/ prod.silver_base.dynamodb_s12n_progress_course_requirements_primary_courses,dynamodb_s12n_progress_course_requirements_primary_courses,"['specialization_id', 'primary_course_order']"
core.quarters,prod.silver.static_quarters_vw,Done,No,EDSMIG-1628,prod.silver_base.static_quarters,,
core.plagiarism_cases,prod.gold.plagiarism_cases_vw,Done,No,EDSMIG-1626,prod.gold_base.plagiarism_cases,,
core.phoenix_specializations_partners,prod.gold.phoenix_specializations_partners_vw,Done,No,EDSMIG-1625,prod.gold_base.phoenix_specializations_partners,,
core.phoenix_specializations,prod.gold.phoenix_specializations_dim_vw,Done,No,EDSMIG-1624,prod.gold_base.phoenix_specializations_dim,,
core.phoenix_specialization_enrollments_derived_metrics,prod.gold_base.phoenix_specialization_enrollments_derived_metrics,Done,No,EDSMIG-1623,prod.gold_base_base.phoenix_specialization_enrollments_derived_metrics,,
core.partners,prod.gold.partner_vw,Done,No,EDSMIG-1621,prod.gold_base.partner,,
core.l2_courses,prod.gold.courses_vw,Done,No,EDSMIG-1611,prod.gold_base.courses,,
core.l2_course_branch_items,prod.gold.course_branch_items_vw,Done,No,EDSMIG-1609,prod.gold_base.course_branch_items,,
core.l2_course_branch_item_contents,prod.gold.course_branch_item_contents_vw,Done,No,EDSMIG-1608,prod.gold_base.course_branch_item_contents,,
core.enterprise_wes_transactions,prod.gold.enterprise_wes_transactions_vw,Done,No,EDSMIG-1607,prod.gold_base.enterprise_wes_transactions,,
core.courses_partners,prod.gold.courses_partners_vw,Done,No,EDSMIG-1581,prod.gold_base.courses_partners,,
core.courses,prod.gold.courses_vw,Done,No,EDSMIG-1579,prod.gold_base.courses,,
core.course_modules,prod.gold.course_branch_module_stats_vw,Done,No,EDSMIG-1575,prod.gold_base.course_branch_module_stats,,
core.course_lessons,prod.gold.course_branch_lesson_stats_vw,Done,No,EDSMIG-1574,prod.gold_base.course_branch_lesson_stats,,
core.course_items,prod.gold.course_branch_items_vw,Done,No,EDSMIG-1573,prod.gold_base.course_branch_items,,
core.course_instructors,prod.gold_pii.course_instructors_vw,Done,No,EDSMIG-1572,prod.gold_base_pii.course_instructors,,
core.course_branches,prod.gold.course_branches_vw,Done,No,EDSMIG-1568,prod.gold_base.course_branches,,
core.course_branch_syllabus,prod.gold.course_branch_syllabus_vw,Done,No,EDSMIG-1567,prod.gold_base.course_branch_syllabus,,
core.course_branch_modules,prod.gold.course_branch_module_stats_vw,Done,No,EDSMIG-1566,prod.gold_base.course_branch_module_stats,,
core.course_branch_lessons,prod.gold.course_branch_lesson_stats_vw,Done,No,EDSMIG-1565,prod.gold_base.course_branch_lesson_stats,,
core.course_branch_items,prod.gold.course_branch_items_vw/prod.gold.course_branch_item_grading_weight_info_vw,Done,No,EDSMIG-1564,prod.gold_base.course_branch_items/prod.gold_base.course_branch_item_grading_weight_info,,
core.calendar,prod.silver.calendar_vw,Done,No,EDSMIG-1562,prod.silver_base.calendar,,
core.base_phoenix_specializations_partners,prod.gold.base_phoenix_specializations_partners_vw,Done,No,EDSMIG-1561,prod.gold_base.base_phoenix_specializations_partners,,
core.base_phoenix_specializations,prod.gold.base_phoenix_specializations_vw,Done,No,EDSMIG-1560,prod.gold_base.base_phoenix_specializations,,
core.base_phoenix_specialization_cubes,prod.gold_base.base_phoenix_specialization_cubes,Done,No,EDSMIG-1559,prod.gold_base_base.base_phoenix_specialization_cubes,,
bi.user_course_item_time_spent,prod.bi.user_course_item_time_spent,Done,No,EDSMIG-1372,prod.bi.user_course_item_time_spent,,
bi.user_course_effort_flags,prod.bi.user_course_effort_flags,Done,No,EDSMIG-1369,prod.bi.user_course_effort_flags,,
bi.user_course_branch_week_time_spent,prod.bi.user_course_branch_week_time_spent,Done,No,EDSMIG-1366,prod.bi.user_course_branch_week_time_spent,,
bi.paid_engaged_learners,prod.bi.paid_engaged_learners,Done,No,EDSMIG-996,prod.bi.paid_engaged_learners,,
bi.on_demand_sessions_item_deadlines,prod.bi.on_demand_sessions_item_deadlines,Done,No,EDSMIG-968,prod.bi.on_demand_sessions_item_deadlines,,
bi.current_retention,prod.bi.current_retention,Done,No,EDSMIG-417,prod.bi.current_retention,,
bi.cplus_subscriptions,prod.bi.cplus_subscriptions,Done,No,EDSMIG-347,prod.bi.cplus_subscriptions,,
bi.course_enrollments_learning_sessions,prod.bi.course_enrollments_learning_sessions,Done,No,EDSMIG-317,prod.bi.course_enrollments_learning_sessions,,
bi.course_branches_insights,prod.bi.course_branches_insights,Done,No,EDSMIG-306,prod.bi.course_branches_insights,,
bi.course_branch_weeks_insights,prod.bi.course_branch_weeks_insights,Done,No,EDSMIG-305,prod.bi.course_branch_weeks_insights,,
bi.course_branch_module_week_numbers,prod.bi.course_branch_module_week_numbers,Done,No,EDSMIG-302,prod.bi.course_branch_module_week_numbers,,
bi.course_branch_items_insights,prod.bi.course_branch_items_insights,Done,No,EDSMIG-301,prod.bi.course_branch_items_insights,,
bi.course_branch_item_details,prod.bi.course_branch_item_details,Done,No,EDSMIG-296,prod.bi.course_branch_item_details,,
bi.active_subscriptions,prod.bi.active_subscriptions,Done,No,EDSMIG-125,prod.bi.active_subscriptions,,
bi.core_user_course_branch_weeks,prod.bi.core_user_course_branch_weeks,Done,No,EDSMIG-84,prod.bi.core_user_course_branch_weeks,,
